id,userid,sex,adress,age,text,stance
2223,510ed098b385d62fd9911fb804c6322251841a52,男,其他,其他,书粉就很开心的，有小说，广播剧，动漫已经很好了,favor
2588,4b3d7d36df611be9d90e3dad9ecf057e5d4bfcb6,女,安徽,中青年,再不禁同妻都要道德绑架了二极管太多，怎么说道理,none
379,76694cb4a016f05793d9409d7c07e41fbbb14ed7,女,湖北,中青年,"喜欢仙侠,不喜欢端改",none
1256,3ffca7f6a22700f61773f750858008426746c695,女,湖北,其他,牛皮，耽改剧是为了讨好腐女，bg剧就不是为了讨好嗑cp的受众了吗???说白了就是歧视小众群体呗垃圾,against
412,d14e55cce452f980a3cd7f7e8e4552b7938d1529,女,广西,其他,最近整顿饭圈了！耽改剧真的离播出遥遥无期啊,none
2187,582c2645c8684a50a9f836712ab7338cc5693586,女,山西,青年,看了网友评论才想起来张新成演的费渡,none
2193,27c9a4778eb6a470bb5e6b9f200d4bc21bdf2afc,男,辽宁,其他,哈哈哈，挺好的～,favor
1067,7c463fadb632d143bc954cb260afa8c45de9690e,女,四川,青年,自我介绍：对男的审美偏好就是花美男，耽改剧固定受众，会看养成爱豆唱歌跳舞，对待附加离婚冷静期且充满未知风险的婚姻坚决说不，视一二三胎为人生累赘，总之是畸形审美和偏激思想的交集，罪名累累，建议直接放弃对本人的改造[赢牛奶],none
1698,b050f2058d44796486d9f2066de284ba24287cd6,男,海外,其他,聚宝动画片，下架奥特曼，删除掉女装博主账号，整治剧本杀，停发游戏版号，和谐图书，删减番剧，抵制娘炮，下架耽改剧就像限电一样，针对某一地区群体无差别攻击，不告诉你时间和理由，就悄悄的按下了按钮我早都已经被温水煮的躺平，可是看到那位博主还是会愤怒，我以为他才是牺牲品其实我才是,against
1461,721efca32c2b43fdb16f42fc225e29dcf7ac508e,女,宁夏,青年,《皓衣行》《烽火流金》难播出？《张公案》或空降，已获上线资格随着潘粤明主演的《云南虫谷》大结局后，不知道观众是否有遇到了同样的一个问题呢？那就是——又剧荒了。而当每次剧荒的时候，相信很多观众一定想到的就是自己特别期待播出，却迟迟未播出的作品，而《皓衣行》、《烽火流金》等等耽改剧，绝对是大部分观众心中的第一人选。,none
