id,userid,sex,adress,age,text,stance
762,f610669ec04147e01483ce8d32038e336e267cfa,女,其他,其他,看起来还行，我真觉得人家的爱好没必要评头论足，而且又能赚钱何乐不为。西安地铁事件连转发都被封，不道歉就等着翻篇呢。,against
3001,e39970a694954240a07f6b5b2d90e0f737aa3b37,男,广东,其他,英语专业毕业，中山大学硕士，却在外面开摩的。近日，“38岁硕士失业后开摩的”引发网友热议。高学历低就业似乎总是让人惋惜，但也有人认为，“人生哪有那么完美，努力赚钱便是‘学历’最美的样子。” #怎么看待高学历低就业现象# 职业无分贵贱，任何为了梦想而努力拼搏的人都值得被尊敬 人生哪有那么完美，既然有低学历高就业，自然也有高学历低就业啦！再者说了，学历并不是一切！只要是为了梦想而努力，那就是最棒的#今日看盘# #股票#,against
1406,7f910c4eafacde31b104de1264958775fdd7a19a,女,上海,其他,我家博士不少，都是平凡的大学老师或者研究员。,none
3067,05e00c9a9ec6763e65811192f79aa1e2b7400023,女,广东,其他,哎！这也是没办法，哪有想要什么工作就有什么工作的,favor
3879,ce2c381c2317d2d8c5056c3bc67dfdcc597d3f5d,女,山西,其他,高材生进工厂在适合自己的的领域大显身手吧,none
2127,df4ef82ab2cc624707ec1526efbcf54fda96f63d,女,上海,其他,#38岁硕士失业后开摩的回应网友质疑#靠劳动赚钱，敢于放下自己的过去，这是需要巨大的勇气的，就是好样的。而不像有的人， 一味放不下面子，死守那份所谓的傲气和清高，在家呆着，好高无语或是自甘堕落。无论从哪里起步，只要能找到机会，从事任何职业也都没有贵贱之分。有可能只是一段过渡，谁人都会有职场的低谷期，不同的度过方式，也是一种成长和洗礼。,against
323,aecac8d6a72ec67f465feeff73b7a2e9e616399f,男,北京,其他,#名校生到卷烟厂当工人是浪费吗#当工人怎么了，不是人干的？大学生就该干人上人的事？满肚子阶级论，都是阶层伤害。,against
2052,3528e0198edeee265322f2d02b2e37c6034dbc99,男,其他,其他,#38岁硕士失业后开摩的回应网友质疑#我觉得他就是临时换一个生活方式，开摩的相对其他工作比较自由，可以有更多的时间规划未来。,none
1091,a355e257cffc382d221263633779a24f916f3a75,男,其他,其他,以前觉得销售发传单打电话卖产品，自己工作了才知道所有工作都离不开销售的本质,none
607,29e443e445d912ecee36d09e786baf5779054491,女,江苏,青年,#清华毕业做家政是人才浪费吗#浪费个p，有钱人给得起钱需要这样的人才是歧视家政服务还是怎么滴，人家这是高级家政普通人真的干不了,against
3415,fa68551e658f0e36d3a75908e2c8c1aec0e03cbf,男,江苏,中青年,我司北科大的研究生同样在一线挥汗如雨,none
3118,6637d0afedfb6f6eceb3807e341d589053e57a04,男,浙江,其他,#年薪30万女硕士辞职做保姆#第一眼看到这个标题肯定是震惊的，但仔细看过还是觉得存在即合理。虽然大家会普遍认为“保姆”这个职业不需要高学历人才，认为高学历人才去做保姆是大材小用，而且会对这个职业有一个刻板的分层定位，其实这都是很具有局限性的。从具体工作内容中不难看出，其实这位女硕士要做的更多是教育，而教育是更需要这种高学历人才来做的。更广阔的见识和更深厚的学识可以教育出更多优秀的人才，这一点必定是毋庸置疑的。私以为每个人的生活都是由自己选择的，只要自己认为自己所做的事业是有意义的，那么别人无权干涉也无权评价！,against
1598,3fc6239006ff8f4dd0d4daeb99031662f80355c5,男,北京,其他,只有坚持，才是真正的成功；只有拼搏，才是充实的生活。 周末愉快！,against
1921,8b453fecd1da928ce00d1ca4b656e000f618cf88,女,其他,其他,传播“知识无用论”就是希望别人都躺平，然后这些人就可以脱颖而出了,none
3233,342cbe2651318975b8a3c358eadaec655995fa05,男,广东,中青年,这个还是有区别吧，一个是高素质人才下沉，一个是低学历人才上升。核心就是社会高端岗位供需问题，也是一个地区能否摆脱中等收入陷进的关键。,none
2270,0559091fc7f28cdeb0d91e7f5cc2443427641f73,女,其他,其他,确实觉得可惜,favor
1624,7c94764a375226c395785dc195cea7ed6c004ac0,女,四川,其他,#物理硕士摆摊卖卤味是人才浪费吗#这跟当年北大人才卖猪肉一模一样的问法,none
1528,a17fc59a7c4502dc2886f0de331d804e5ceb406a,男,北京,其他,#物理硕士摆摊卖卤味是人才浪费吗# 当然不浪费。任何行业都需要知识与技术，独家料包也是运用自己的知识调配出来的。专业人士可以让行业有更长足的进步。而且，这是人家的副业,against
1300,68e34bcff0436428c029b010bb458a8d06718701,男,广东,其他,#985毕业生回应辞掉公务员卖猪肉#用我们广东话说：真是好黑仔,none
1911,41c32b871cd27f6bdbebbd9f13113adac8bd6833,男,北京,中青年,内卷or失业，选一个吧,none
1021,60056a27f6f863e7f1d32d6cd7c930e541e0ca5b,男,其他,其他,要想去卖房何必浪费几年时间读硕士,favor
3430,3cdcf386ab9667562e66768d505cd847d3e69a2c,女,北京,其他,985都是高材生，需要研究,favor
3800,8cbec84e60709880c24d4b35ae2c105a4699900d,女,山东,青年,这就很好的说明了现在有很多的高材生也是向生活低头了,favor
1749,90babc902dde882547ca11f97d59db1ab25393b2,男,湖南,中青年,我们口口声声说职业不分高低贵贱，可我们谁也不认识同开摩的是一份体面的工作。底层，阶层，身份，这是客观存在。,against
1685,45aba3a38a3a8ffd99195d3b99fa216591a42919,女,山西,中青年,#物理硕士摆摊卖卤味是人才浪费吗#简单的不勾心斗角的世界是珍贵的吧。是人们自己定义了高下，而有的人可以选择跳脱出这种无意义的评价系统，去做自己享受的事情。,against
64,3a8b34ed98ffd76fdff8aef99ed101371a897a79,男,其他,其他,#名校生到卷烟厂当工人是浪费吗#浪费的是高校有限的教育资源。国民生产出的有限资源，被投入到这些“名校”，期望的不是产出卷烟厂流水线上的工人。但是名校学生们又不得不去流水线上谋个饭票过活，这是个社会问题。,favor
1969,ec371583c5f993127990eb3c1aaf97a3194e5208,女,江苏,青年,这几年培训也赚了不少钱 现在低谷期 有本事的人选择很多 这个只是暂时的,none
2143,4b11ab0848f7ec33e81728990cf8bf7b54df948d,女,北京,其他,#38岁硕士失业后开摩的回应网友质疑#网友怎么什么都质疑，比我还闲啊,none
1299,ed9fe095db95999132ed3a4bbf255157055e36b5,女,重庆,其他,#985毕业生回应辞掉公务员卖猪肉#卖猪肉也是一个不错的选择，职业没有高低贵贱,against
3788,0c162bc120aa191c1360564ae0cc0510961538e0,男,陕西,青年,#985高材生毕业后到工厂上班#其实我认为这种高学历到工厂上班也是完全可以理解的，而且现在也很常见了吧！看看梨视频这波视频中的提问，同学们对于去工厂工作的概念还是比较模糊，小部分会问一句：是什么类型的工厂呀？ 其实我们在现代化的工厂中也可以看到，智能化的程度非常高，还有运输机器人，而且里面高学历的学生还是挺多的，当代的制造业是非常有前景的。高学历人才到工厂上班已经很常见了，现代智能工厂的发展前景和传统工厂不可同日而语，高学历和高薪工人真的也很多呀~,against
2779,f45ddefc330aaf0e266eb50cfaf721236b935fec,女,北京,中青年,我不敢说实话，我怕被骂其实想想，资源就是重新分配，一个时代一个特色吧……,none
1333,2ccd5abf96176800521ca43ca19c51e2498b02ec,男,北京,其他,#985毕业生回应辞掉公务员卖猪肉#祸兮福所倚，福兮祸所伏。直面困境，不屈不挠，走正途，必有回报。祝福，加油！,against
3707,b41f9ede70d07c78084bab6558885375371e16e6,男,北京,中青年,#985高材生毕业后到工厂上班#有人不认同985海归放弃CBD进工厂，但是我认为无论做什么，行业的发展前景都应该是首要考虑的因素。也是看个人的规划，而决定的,none
2035,d26b20bb8738bb772bc703c0b17e3a0833ddbe16,女,陕西,青年,#38岁硕士失业后开摩的回应网友质疑#作为一个英专生 真的很敬佩他能拿得起放得下我们这个专业确实很卷 但只要踏实肯干 在任何领域都是能发光发热的现在很多大学生好高骛远 眼高手低 看不上有些职业 但其实所有职业都是平等的 只要肯付出 肯定会有所收获 西安·西京学院,against
2931,c8b87c35925781cb7ef3099ab1b1e0a8ab6f4e74,女,其他,其他,钱不钱无所谓，主要是喜欢这样枯燥乏味不需要996的工作,none
1687,adf087f81a68ed633f3f668493a26f2a5ff8adcd,女,重庆,其他,#物理硕士摆摊卖卤味是人才浪费吗#我还想推个小车车去学校门口卖关东煮呢那个成本低还挣钱,none
660,ce08923a943002becb1f2b113e553b933a2c6ba4,男,广东,中青年,尊重他的选择，但不支持。应该有这个选项,favor
494,b1b1376953453637dafda8bcbcb23f504991ddf6,男,江苏,其他,不要怀疑清华人的智商。,against
939,363423d447f28738052c32dfecb5abf6b2c6fb99,男,吉林,其他,95后名校硕士卖房背后：高材生涌入房产中介，有人一年升店长95后名校硕士卖房背后：高材生涌入房产中介，有人一年升店长#中传95后硕士毕业去卖房##如何看待硕士毕业去卖房##中传硕士毕业去卖房#,none
1196,9c306b8226cd05b570c0ef385893a534520745f9,女,其他,其他,职业本就没有什么高低贵贱之分，自己自食其力，靠本事吃饭，不要太在意别人的感受，自己的感受最重要。当然也可以说是命运的影响，就是我常说的，一份工作做了几年，但时间一到，阴差阳错的换职业了。#985毕业生回应辞掉公务员卖猪肉#,against
2238,57264abf3a7941a42eff89a2b90207d2478c6661,女,其他,中青年,#38岁硕士失业后开摩的回应网友质疑#评论真是笑死人，说什么职业不分贵贱，劳动光荣，yxh制造焦虑，博士找工作轻松之类的，都是哪里蹦哒的没经历社会的小孩？985硕士大厂35做不到中层分分钟劝退，现实社会，即便你工作经历好，拿着38岁的程序员简历只能找个996工资减半的工作，每月会被放贷和育儿压死，其它行业更惨，早年开的士初中辍学南下深圳的早买车房了。承认现代社会把普通人变成35年寿命的干电池有那么难吗,none
2726,c539b03976fe338f7d0e86a8c41153cb07be77a5,男,北京,其他,博士重在研究，教中学生课其实并不擅长，得练个两三年才行,favor
1144,ae46bd362d0d7f02ba90c3e73240791212b5570c,男,北京,其他,#中传95后硕士毕业去卖房#在这个纷繁的世界，能找到一件自己真正喜欢的事情很不容易。高学历不是给人生设限，它是拓展生命的宽度。路，从来不是越走越窄。这是个包容的世界，我们需要听到不同的声音，更要听到内心的声音。我也在上海，不是做中介，但认识几个做中介的朋友，他们做的还可以，去年20年，一个朋友拿了90万的佣金，另一个朋友50几万，说不羡慕是假的。这行也看市场的，行情好的时候赚钱真的容易。有些人说，这行辛苦什么的，但搬砖的送快递的不也一样辛苦？转,against
801,d6d9fcb65d8b58141e005d1e63e7a3653a3bce66,女,其他,青年,#西安一物理学硕士摆摊卖卤味# 过不了多久可能会出现：#长沙一化学硕士摆摊买煎饼果子#职业不分贵贱，能养活自己就行,against
1902,d91838a2484855d3e2fbbb0581b1ecbe6e201fd4,男,广东,其他,培训行业 倒闭失业了。这是暂时的，好的英语老师会有人抢着要的,favor
3756,c778612a6e0a5038aa3933cc5ebed3b946931dbe,男,其他,其他,这样的人才去工厂也不会是做流水线工作的，都是各种技术型工作,none
1460,9499bd4d3a69ebea9735eff2c0565f2c53d639e4,男,山东,中青年,摆摊卖卤味，不用那么高的学历，真是人才浪费,favor
632,a93cdb05b80636f12801c88f462f6c9bbafa44bb,男,其他,其他,#清华毕业做家政是人才浪费吗#教育的意义更多体现在赋予个体实现自我的能力，还是为社会发展预先投资人才呢？政府、高校完全有必要在毕业生中进行积极的就业引导，但对个体选择的过度解读甚至苛求，也是对他人自由的一种干涉吧。,against
484,30f5e07b0da0e695a71ea9e32ff677869f508637,男,浙江,其他,#清华毕业做家政是人才浪费吗#？浪费？你问问看，有多少清华本科毕业的年薪有50万！何况，家政啊，真别当是普通的保姆，人家干的可不是拖地、带娃、洗碗这些简单家务，请他们的人也不是一般的月薪族。如果告诉你，他们更像西方城堡里的管家，一定就感觉高大上了吧。明白这些，#家政公司还有北大海归毕业生求职#，是不是就觉得正常了呢？ 倾听指尖的微博视频,against
1453,4c0e6bc2e0fdc511328e40b9aac9cbd3e8badbba,女,山东,其他,#物理硕士摆摊卖卤味是人才浪费吗#不是，怎么人家就读了个硕士，就失去了摆摊卖卤味的权利？,against
581,06c07a4cbaaef5197e408fd8e28c5e007965cf48,男,广东,中青年,#清华状元毕业后当保安# 近日，一则清华毕业生年薪50万，求职家政“管家”的消息，引发关注，很多网友评价不一。你觉得#清华毕业做家政是人才浪费吗# ？ R梨视频的微博投票,none
3921,e820e694f62659d9de4d022e68466c4542a839ed,女,其他,青年,感觉去工厂上班也挺好的，现在很多岗位都需要高学历啊,against
3461,0c9dccc595a03d408ee0594936b5d2cac49609a1,男,山东,其他,#985高材生毕业后到工厂上班#烟厂当流水线工人，才是人生赢家！#创作力计划# 考不上教资不换头像的微博视频,against
2789,7f05c3cf0ea8d747ba9c496a074b0461483daef8,男,河南,其他,"你要相信博士们并不是书呆子,他们比大多数人都聪明.我也希望孩子老师是博士啊",against
2034,4ef82c334cd541c7341c2273b0089d58203c808b,男,广东,青年,文科就业不好，不如搞自媒体,none
806,59957986d3d5c4dbbc4ebb9d5e768d8dc54eeead,男,北京,中青年,是金子在哪儿都发光,against
804,6f72a11de34408a3928051600773aeb16e363388,男,湖北,中青年,你只看到北大生卖猪肉，你不知道他赚多少,against
923,7a7f9288e5311d13e1a6f9731c3331e28a8546b6,男,广东,中老年,卖卤味应该是化学硕士的专业吧？物理学硕士应该摆摊套圈或抓娃娃呀！,favor
3538,f6d706781b0b35acccfccafea9bf55272c5ec294,男,辽宁,其他,米：985的学生是死也不会去工厂上班的,favor
