id,userid,sex,adress,age,text,stance
207,8a02ef259f323c4575d446ed1122cc44a18ac1ea,女,其他,其他,"太喜欢漂亮的女孩子了无论整不整容,在我眼里都她妈是漂亮女生呜呜呜",favor
1354,17edf7361fa22608321f6462e288767f1659c1eb,男,广东,其他,华晨宇当明星整容很正常，本来就是靠颜值吃饭，没什么可以指责的。反而泄露他人隐私，这才是真的有问题。,favor
718,e932f503ff0dcaeee5b57d6c6918bbf7f54a0146,女,浙江,中青年,不打针不整容的明星，要好好守护,against
1293,1336ac5fd27dda86f3514d6301b24d4f2e8437fb,女,黑龙江,其他,"整容难道不需要恢复期吗,他从星动亚洲开始就一直活动在大众眼前,还拍了部戏,恶意截图真没必要🙏",favor
595,4eabe29135060f37bb9a5951ed91e086968d3d15,女,北京,其他,你知道主角是哪俩吗大哥玑灵给我美起来啊玛德，主角脸不吸引人，你觉得还能吸什么粉啊各位再上点心吧，求求了，真的喜欢小火，求求你们了行不，不想骂人,none
915,13237f2f9083bbde5992fce6d655df88f93dd804,男,其他,中青年,听了你的话，以后真的是不能被审美绑架了，得会欣赏自己的美,favor
1628,b4e3577f98691f832942259324c8633d6d4a8ff2,女,其他,青年,真的笑死了，这个世界上的张元英不可以和正常人一样修图p图换妆容点高光贴双眼皮贴🙄不然就是整容。草拟大坝的，土狗八婆们哪里维修一下脑子吧🙏🏻,against
1038,dea456b945428eb7ab21f0702f142d0cb603bf7f,女,湖北,青年,回复@botox刘老师:看来要整容得早点搞，肥马就是的。还能吹妈生脸，纯天然,favor
2842,ad0394cf8a4a31c70113e2ad0426becc26bb3cbe,男,海外,其他,"得益于成熟的医美技术，漂亮的眼睛现在已经不罕见了但有些人的眼睛，依旧美的独一无二，非常有辨识度来看看这些美成整容范本的眼睛里，有没有你家爱豆吧（没有也不要紧，这只是第一弹；排名不分先后）肖战,明星美目大赏（第一弹）什么样的眼睛才叫美得高级？|日本整容整形",none
277,61e68d802696427570c8e1049a5e0e62e3ba5b4a,女,其他,青年,你有没有发现，很多明星网红的鼻子越来越短了其中像之前的整容模版-方恰拉，很多女生将其鼻子奉为模板鼻，虽然五官有些网红画风，但凭借有辨识度的鼻子增加了不少记忆点，但是前段时间的视频里，露鼻孔更严重了，鼻小柱向左歪，鼻孔不对称，鼻唇角也变大了 ,against
56,b60292d99ea7bbc659a1a51b5f5134502d4bbc60,女,江西,其他,对国产剧的恐惧目前来自于1)整容脸是主要角色之一，视觉体验太过直观，以至于直接弃剧2)木讷的演技，小学生念书式台词背诵机3)人设变来变去，为了强行推剧情发展而转变过于生硬，人物行为逻辑混乱。这是打开剧看会让人立马弃剧的主要原因。当然那种滤镜过于俗气，磨皮太过的不在看剧范围。周末看了一部中年爱情家庭的国产剧受到了整容脸爱豆演技的伤害。父母爱情再看一遍,against
1114,597126e4f73adcacf3945e93571ceb861e667f56,男,其他,其他,"大拆大建是不可的，但是微整容是不是能挽回当年的光景。平地而起容易，再次腾飞难。,广州·龙腾绿色社区",favor
5352,4a4e8771fc1c7e4ae60d5f7d64a834c6e6c1ba7f,男,广东,其他,拔8颗牙+2颗骨钉，整牙如整容的案例来了,none
1505,c4ccad1f95c70809af902e212da046c99415ef90,女,其他,其他,偶像就是一个产业，是以市场为导向的，粉丝越来越能接受整容，越来越喜欢颜值更高的偶像，自然而然就有偶像去整了啊，投稿人的意思是大家对整容的包容度提高所以心痛吗。。。,favor
6517,acfd2d2cbcaf01707f099a1cd49429367f6e6fdd,男,山东,中青年,可以去爱容美容医院看看，提我好使,favor
4690,ca0298a563a0352c9e7d4bcdbe169643f5054fdb,女,北京,其他,有些网友对女性的恶意溢出屏幕了。女网红怎么了？整容怎么了？明星整容少了？这是哪个朝代对女性的要求啊，动不动就荡妇羞辱，说不是个好东西，你也许还没人家网红有本事。对男明星就是没被抓紧去坐牢就行了。这双标可把我恶心坏了。,favor
290,81976f6e19ea154f1ea794866556f2643514793e,女,其他,中青年,帅哥为什么要整容看到了之前好感的一个帅哥的新剧照有点难受……娱乐圈的美女帅哥停止瞎几把整容，整容的后遗症真的可怕,against
597,a0b67d8fa1335522d33489a3b05ad160b3e0ddca,女,其他,其他,为啥韩国整容业这么火，其实看看一些韩剧粉丝的评论就知道了，就知道看脸，只会把自家那丢丢的颜值吹成神颜，把其他外貌不突出的演员骂成啥样了，就没看到人家比你家演技那是强多了吗？！我真的是无语了，不要说颜值天生，就算年轻时颜值不错，年纪大了就会有皱纹啊，新城代谢慢了就容易发胖啊。如果有人天天被这样语言攻击，会很想整容的吧，然后进入一个恶性循环。,against
763,dab4e96bba0f82684fa4c84fe674ac06130a7260,女,上海,中青年,会不会一百年后的人看我们这个时代发现女性疯狂的整容医美，就像我们看一百年前的女性疯狂裹小脚一样，不能理解，也觉得悲哀。,against
969,71eaa0cbc42293784f05fcad948026ba3375f0cd,女,四川,其他,整容就能逆袭成大美女这对大部分人来讲真的是痴心妄想，自身底子和zr思路➕整容运➕合适且好的整容医生，这几项缺一不可。 ,against
1336,2e04ab300d6f0cb19412f1a7a54c9d71fd37f028,女,其他,其他,因为演戏来💰快啊反正颜值演技没有也无所谓剧情烂服化道差也没关系能播能⭕️💰就行不能播也没事儿因为💰已经给完了想到一段吐槽：粉丝：不说别的作品，我家哥哥的颜值就是作品你家哥哥的颜难道不是整容医生的作品。,against
1977,ac73b6154ae83139905c8cc9a2533ba6489c8fe7,女,上海,青年,尚雯婕… 微整容就行了，把山根垫的跟欧美人一样…  很不自然，脸也有点僵… ,against
357,9e9dc89de0f89ec810a12e78ece2917d0d383505,女,广东,其他,"昨天和肥船船說：今天碰到幾個小姐姐面診醫生都是有男朋友陪著。只有我一個人孤零零，他說下次也陪我去，我才不要呢。不喜歡身邊的人看到我包成猪頭那樣。別人又不了解整容這些。看到了或多或少都會擔心。例如我媽咪也是，她一看到我這腫那腫就一副忧愁的样子。,蚌埠",favor
