id,userid,sex,adress,age,text,stance
791,8dd91d12550b3828c6e134d37a40e3f8089eb81c,女,其他,其他,毕竟教育人不是制造商品，商品分等级是高效的，对人这样以单一标准划分否认了人的自我价值感。,favor
420,361274c2af6cde8a8e13dbde5fb006bb0c83a752,女,上海,其他,惠景中学你在吗 特意给重点班一个楼层的领导们,favor
2615,f22de60226c243b31c7cd78eee1855f7d1b92709,女,其他,其他,“快慢班是违法的，因为义务教育是人人都有学上，人人享有同等受教育权利，区别对待是违法的。＂典型的言行不一致,favor
1125,403f98b7d6b03cdc0487adf827de88041b256aeb,女,广东,其他,如果我做错事了，请让法律来制裁我，而不是让即将高考的重点班学生现在来问我游标卡尺这么读,favor
99,f4113d1bfbc74b01af80b06b23626cf1971f63a1,女,上海,其他,回复@Hykai_:特色社会主义的探索之路任重而道远，其实短短几十年发展成现在的物质基础已经很不错了，抛开其他条件，不内卷的年代饭都吃不到，不能又要这个又要那个，如果我们没有，那就尽可能的让我们的子孙有,against
713,030e37b9d02c2ada74138f83f876a1336ee28a20,男,四川,其他,必须努力，总的说来，分数见真章，。,against
320,5a83e09e54532a31da3eaba6a547846ddbc87a4e,男,广东,其他,8月30日，教育部召开新闻发布会强调，落实学校承担的“双减”工作任务，必须严格落实教育教学工作纪律。新学期开学后，义务教育学校要严格执行均衡编班的法律规定，不得以任何名义设置重点班；不得随意增减课时、改变难度、调整进度，不得利用课后服务时间讲新课；严禁给家长布置或变相布置作业，不得要求学生自批自改作业；不得违规组织考试，不得按考试结果给学生调整分班、排座位、“贴标签”。,favor
1047,658bf86fa590a273f7f171c3b9845676e2be9c86,女,湖北,其他, 疫情防控“上心”学校开学“放心”  湖北卫视的微博视频,none
1761,4806d309acd76779d80fc48088c1f8d1e0cfd8e2,男,香港,其他,真的不能焦虑你就把中考问题放到高中进大学来看你差三分可不是没进重点班是没大学读，然后让自己好好学不能和之前一样遇到错的不会的问老师真的不要不好意思，真的好的大学接触到的东西都不一样，而且很多时候会不相信老师的什么错题更正一些经验但是真的有用（我复读的时候才意识到）,against
2933,686f3870a3fc3f61daf0cb5b5881c45365bcd519,女,黑龙江,青年,一上学 资格证变成自己考 一毕业 双减政策来了，资格证又发了 17级永远是试验品,against
2141,4d9f6d1c8428a52f8c84799a0f6556416c4ad9e8,女,陕西,其他,划重点：虽然我一路都是重点班过来的,against
1433,b1752869287e96092e184b349d5539e1132734f6,女,江苏,青年,就是说，为啥我高三有专业，每天晚上回家没作业，还可以染头发化妆我上的是职高，滑档了，想给大家掰一下惯性思维，并不是说上职高以后就修电焊，搬砖啥的，我们这也有重点班，我们班也有能考重点高中结果滑档下来的，当然我没那么牛，我是初中成绩下滑了，本来也能考个普通高中，结果也不是说职高就一定考个专科啥的，我上一届学姐也考了好多南京艺术学院的，而且我们这（江苏）很难考，就算重点高中也有至少一半考不上本科的职高也就比普高时间松一点，分数线一点不宽裕，美术更要文化课专业课双过线，挺难的，所以希望我明年能考上理想的学校吧🙏🙏有什么好奇职高的也可以来问我,against
2202,485817cbebf2b98414395756f2563cdc727acb70,女,福建,其他,？？？搞点现实的东西 我们这年年都说不能公布排名还不照样是考试一出来排名就出来,against
886,23178be399cb49755b2f7ba5df4419f0cae55a3b,女,其他,其他,中考硬杠杆在这，你把能考120的和考三四十的放一个班，那每节课老师就在纠结是讲保及格的基础课还是高分冲刺课,against
546,5ba6c916bb713a6b188e2ec00cd06baeac1489fd,男,海外,中青年,  理性讨论: 这个算不算人才浪费？,against
2608,b4cbee570c9431c9153f1d14706d48f62c7462ff,女,广东,其他,开学以来第一次感受到工作的幸福感原因是：铃响了，我说下课了吗？学生说，下了。学生却这样说老师，你再讲两分钟吧，我不想下课。可是我的思路被铃声打断了，讲不下去了。果然带高二文科班好些，能讲得更多更深入。还有高一的重点班也是，每次上这两个班我都能放开自己，死命地讲，讲得非常的投入。忽然发现上课也不是太难的一件事，我要努力一点去更好的学校，这样教起来更有滋味，也能成就自己。课大于天，这句话刻烟吸肺,none
749,ba85249b3520b98834431e8197a250f2c0ece806,女,海外,其他,成绩好的没得成绩差的重要是吗？成绩差的家长能闹着,against
2920,841812d53772a599480602313df9fe4cbeec9347,男,重庆,中青年,这二十年的发展是高素质人才造成的么？都走出来了你居然还没看清楚。悲哀。是房地产的大发展二十年。,favor
3345,0cfc1a9c1dad99cb94f1f5579066c5351691bbad,男,其他,中青年,"小姐姐你好，请问能问一下,本科招聘进去的辅导老师，平时都做一些什么工作吗",against
1477,b37ef49f587f0e1696b9a832524690d6a69ddbee,男,广东,中青年,高中文科班重点班的李萤要结婚了，中学时她曾是多少少男的梦想啊，好奇能和她携手共度的余生的男生，到底得多么优秀或者帅气才能配得上她？,none
1860,edbfc688420737fbffbc37f57fbdd1c5636d88ff,男,其他,其他,不错啊，分到重点班舍友的话过两天就熟了,against
876,7105db8f0a90eeb33c95d4e0a4fc92140f7c4366,女,北京,其他,有消息说，现在要学校托管到6点放学…总之让你想补课都没时间,none
2047,1e2f5ef3f64c4131b276cd75e41da1eeb5197525,男,广东,青年,现在才觉得，以前在学校因为都是互相竞争过，基本上一路以来进的都是比较好的学校的重点班，虽然以前觉得班里面人的智商也并不咋样，但是出了学校，工作了，和一群 人工作才发现，真心就是自己好像就很显优势一样在智商方面，其实并不是，只是共事的人不一样了罢了，唉,against
2258,19ae9ca23703a46221b03db8d73e692bec2b7532,女,湖北,其他,我以前上小学就有课后兴趣班可以上，交钱就可以了。都是在校老师搞的，就是好玩，搞了一段时间就没弄了。以前都是自己上下学，回来做作业。现在也不知道社会怎么发展的，上学老师学生家长都累,favor
2164,b274d0b7e7f8cbaabddf582338b78e293642879d,男,广东,其他,这下好了！全国人民都知道你说的“不得以任何名义设置重点班”教育部是要把自己搞成一个笑话吗网页链接,against
3369,85af64151584d018e78381b9cd2714cd558949d4,男,河南,中青年,这个机构的合理规范化很合理,against
1634,714cc9f4a76e703e239b479c64e84620ea684dc0,女,其他,青年,虽然但是就真的烦死了 从开学以来一直在折腾 去趟医院给我搞个中度玉玉 真的无语 ,favor
2916,bc7c1042f8f4da8f526a39b9c099d05e3eb4b272,女,重庆,青年,就是说 很爽了 重点班的快乐 我儿真棒,against
2484,9e3647b42a5c3c3bfee763b05190000910f580fa,女,其他,其他,高考选拔制度 高等教育 不改变就是做做样子改变不了,against
3329,f1cc59de98884f3253cf5af329e9a2b2872636c2,男,天津河西区,其他,对孩子来说不上学是最高兴的事了。,against
