id,userid,sex,adress,age,text,stance
2706,19274c2cbe0819800225019d5301a2140f8376e7,女,浙江,其他,能喊出“躺平”的底气，源自上一代父母辈的“不躺平”。是父母努力而使得温饱基本无忧的年轻人，在追求更优质生活遇阻时的自我减压，类似于老年人常说的——“看开点儿吧”。吐槽完，多数人依然会去奋斗，以争取更优质的生活。总有人在吐槽，也有人继续打拼。怎么选？看自己。,against
1265,445216f647fc3d225003d0ddd2ead40e369d3cc0,女,其他,其他,在努力奋斗的年龄要去努力，等有足够的资本，再去躺平,favor
3093,0771b8e056a8bf3747cf01fb03d4d31150c0efdc,男,湖北,中老年,教嗦别人躺平的人，要么是己经跑不动又怕被超过；要么是希望别人都不跑，只剩自己轻松跑的人。另外，还有一些是专门带负能量节奏的网特水军，这些就压根不算人了。,none
3377,d3e2026498db42fe22c2593533bcd7cd7a737213,女,云南,青年,努力加油，奋斗吧！,favor
1398,1227a42fdd19095f242b9013a99e50c7d3202bdc,男,江苏,其他,年轻人当然要奋斗，千万不能躺平，不然谁给他们挣钱。,favor
3580,18a96df7d1f8eabf659dbe25f4d43526f0c7f5a0,女,上海,青年,我们都有光明的未来（但是热搜是摸鱼刷到的）,favor
232,a503969381809ae20e1454d2f22220bbefcb3a14,女,江苏,中青年,你有躺平的资本吗？结婚了吗？有后了吗？父母养育你这么多年，他们的养老金你备好了吗？别一天天的瞎想，干就完了，啥也不是,against
5076,77c6aa7779bb0b014e1279fbfd06f5991940ad60,女,广东,中青年,想当一个废材突然不想工作了不想努力了怎么办这个想法好罪恶,none
235,5160554a99452c0f68775a7cb17c4372dfa85d4f,女,广东,其他,你说得对。但没钱就更不应该躺平了,against
1740,8bff406952f8b85bbe464f52b5f1e264b03910a0,女,湖南,中青年,这个社会就是，涝的涝死，旱的旱死，资本主义赚的盆满钵满，年薪上百万，上千万，上亿，还在那里绞尽脑汁的赚钱，让劳动者努力加班，实行996，却抠门的要命。不知何时，人们心里有了一种恐慌，就是年轻不买房，老年没着落，再者，有了孩子也得有个家，可是月薪三千五千的人多的是，一年不吃不喝存五万，凑了首付，就开始漫长的还贷款。房子是资本主义控制劳动者最可靠的一个手段，你可以不买奢侈品，可以简单朴素，但你不可以睡大街，总要有个房子，而有了房子后，每个月的贷款就逼迫你一直为资本主义干下去，直到榨干了你最后的精力。一个低收入者，要两代的努力才能凑成首付，一个中等收入者，要把自己最好的年华献给资本主义，一个三四十岁的中年人，为那几块砖再拼命努力，努力，然后媒体，或者一些心灵鸡汤还要告诉你，努力，将来的你会感谢现在的你。人到底是活在当下还是活在未来？未来要多久才能到来呐？我们这些低收入者一代代的努力，拼搏，为的是什么？我们想要一个房子，而那个房子被资本主义炒出了天价，成为我们摔断骨头也要跳起来去追求的梦想。人人都在为房子拼命，你可以看到周围一群这样的人，如果有一个人不买房，不存钱，不要孩子，享受现在，你一定会说他以后有他苦的。大家都这样，所以约定俗成了，有房有车，是人的标配。已经有很多人去质疑为何要这样，活在当下，未来一定疾苦吗？但是现实很无奈，不想成为资本主义的走狗，可是物价，房价，教育，医疗，个个都在逼迫我们不得不继续往前走。很多外国人说中国人没有人权，是的，我渐渐认识到这一点。没有享受的权利，只有努力的权利。,against
4412,9113e878caae67beda73c2d2e40c11e80143dcc9,女,江苏,青年,小时候不仅觉得自己不普通 甚至觉得自己惊为天人 因为我觉得我会魔法,none
763,fb7be60b48d85d31a69117fbc876be088c86c8af,女,陕西,中老年,作为有责任的社会人，应讨论的是如何能避免这种现象的发生，应如何去引导年轻人去对自已、对社会负责，去没变他们的思想，而不是听之认之。,against
3666,aad6873afa3ff7a9f109ddc2a63c836f87243693,女,其他,其他,咱快卷死了 就当你没看见这条微博 我没说过这些屁话,none
1583,3c2033677d664c15252d11d6a900e546773d3f15,男,湖南,中青年,建议普惠式涨薪20%-30%，坚决落实《劳动法》与《社会保障法》等社会保障法体系赋予每个劳动者权利，缴足五险一金，给足加班费，严厉查处违法加班行为，建议立即开证《房地产税》，将房价降低到普通劳动者5-6年能够购买的程度，保障普通劳动者最基本的居住需求，建议向富人征税，重新平衡社会财富分配，严格落实先富带后富的政治承诺。        B站上有首歌《两马同槽》现在这个社会是前辈人流血牺牲所追求的社会嘛?说好的共同富裕呢?渐渐富者田连阡陌，贫者无立锥之地?我想我们始终不能忘记革命权或者说反抗权是最基本的人权，勿谓言之不预,none
4878,36e0ec015e0b6f536124f255de4fc393ecd28562,男,山东,中青年,看看你的银行卡余额，未婚的想想如果父母身体不好你是否有经济能力给他们最好的治疗；已婚的，已婚的就不该有这个想法！小时候看电视，神仙一犯错，就贬下凡间做人，那时候小不懂事，就想着，做人算什么惩罚？长大了慢慢就理解了，做人真累，,none
529,417b3b143b64a7ce2c886621bb0868d2a5117666,女,北京,其他,是每个人选择的权利，能笑着躺平是一种能力，离异的你敢躺平吗？ 搞笑奇葩事的微博视频,none
1397,86e0323d66beed1f210aa8e1c7416119634cbf2d,男,其他,其他,讲的不错，希望国家能有所规划！,none
3807,821f1e0e5ff29f5e31522524301901047d51457c,男,山西,中青年,曾几何时，违反劳动法已经成了一种荣耀？每天工作8小时反而有时候成了一种耻辱？现在资本的力量已经这么强大了吗？,favor
1065,654f15589e407cfe0d410f84beeee1e12ee90bad,男,河北,其他,最近都在说躺平，能躺平也是件幸福的事儿，作为苦逼的八零后，还得奔波于养家糊口的生活，奈何“诗和远方”也只是“诗”和“远方”！ ,against
1782,72bd763a554ef0be65418e01da64c5336bf09bfb,男,四川,其他,，难道一定要拼命累死，倒下才是你想看到的吗？年轻人倒下的例子还少吗？ 成都,favor
4280,d5f2f9f97c650c5e67ec18f5d88f9547a6057a9a,女,其他,其他,要把普通的生活过不普通,favor
3057,9183c4e4e8eb57958dc1c5b251c7b2b8d6594d12,男,北京,青年,那就看领导懂不懂事，公司好不好，工资到不到位了,none
4978,45ba39907f5bbd7034b5f89d52f960da718f4b50,女,其他,其他,  倒也不是突然,none
1299,05d407798d88cda47aa30a74f7ba6ab89f599fae,男,吉林,其他, 许多企业高管并不知道大量不同行业的企业基层失控会造成多大的社会波浪 也不知道自己的企业是否有基层失控的情况 反正他们看到的数据是钱花出去了 基层拿到的工资是不是他们认为的那样他们也不一定知道,none
334,a3bb4c489042e86513bac0fe60be36a729c1ae74,女,其他,其他, 什么是躺平？但凡需要努力的地方，都选择佛系避开。不争气，也不放弃，随波逐流。躺平绝对不是丧文化的产物，而是一种生存策略。 暗藏实力，伪装弱鸡。同龄人眼里的小透明，闷葫芦憋大招；BOOS眼里的白月光，心头难消意难平。,favor
1455,578d9e740b467d59c04463db11a031359e9e87fc,女,河南,中青年,关于躺平，一个努力不躺下的年轻人有几句话不吐不快。没有调查就没有发言权，麻烦你们在对年轻人躺平定性前，能不能了解一下年轻人的处境。谁寒窗苦读十几年，是为了躺平做废物？可现实是什么？多少用人单位认真保障劳动者的合法权益了？躺平是他们最善良最温和的反抗了，而且，绝大多数人只是喊几句而已，并没有真的躺下。 曾经看过一句话，意思是：让我为国家为家庭努力我都愿意，但让我冒着猝死的危险让老板买房买车，我不愿意。,favor
265,b79efe92d3213f1b3babc4c55aaacb82061c541f,女,广东,其他,全世界的年轻人都不太开心，中国的躺平，美国的拥抱社会主义  赵灵敏的微博视频,none
3370,31167de548b93984a282204c1ee84cdd2efb5509,女,河南,青年, 天天贩卖焦虑 我真的怕了 我活不了多久 拒绝熬夜 早休息~,none
3795,48a06cf5d1477827092f83b4205fe09cafcc33cf,男,上海,其他,科学家的伟大，不只是在于他们在两鬓如霜之际依然竭力为祖国的科研事业拼搏，更是在于他们把自己最宝贵的青春奉献给了追求全人类的幸福之路。,favor
998,95e0919bec52232ce068b4cff008ca6d6e3ff747,女,湖北,其他, 一直觉得“躺平不能解决问题”是一句屁话。都特么选择躺平了，谁还在意问题是什么？？？,none
4327,a75739f135c86202bf448ea6ef95e2c87ab534bb,女,北京,其他,从一开始就知道自己不是普通人，然后果然不普通……,none
365,c1a70c92ab12da1d4124ad3485b52f125d9fea25,女,福建,其他, 躺平是等死，不躺平是猝死突然想起一句广告词：年轻就要醒着拼,against
4672,246ce4b870b90b9ccc2f4d140703c17d0331c255,女,其他,其他, 为什么那么多人因为“不会吧”生气？他说的没错呀。买房子得存钱得背贷款，好工作得削尖脑袋去争取，找对象得多花心思去表现自己。可能他的语气让人听着不舒服？可是如果他说“年轻人太不容易了社会该对他们更宽容”，听着是舒服了，有啥用呢？,none
3663,b32796019d26d16607dec52aac98d3e049b87d27,男,北京,其他,哪有那么多成功人士，要是十年后年入百万，多半是自己创业的，但现在创业的能活下来的最多也就5成，3成坚持中和不太挣钱的，2成是风生水起的，能干到年入百万的还得看行业的成长性，有些行业是真的有瓶颈的，现在这微博是光灌鸡汤,favor
4621,d8f53c4ac0a913e14f84592a625f31dbf21ee87c,女,北京,其他,68年出生的白岩松，一句“不会吧？”把中年人的傲慢表现得淋漓尽致。房子很便宜，工作很好找，女孩很好追，不就是60后70后大学生们的真实写照吗？他们这一代人只要努力上大学，工作是分配的，房子是分配的，彩礼是没有的，丈母娘是通情达理的。因为他们基本踩上了所有的红利。,none
