id,userid,sex,adress,age,text,stance
2003,aaef7d004553f6935dcdf6f8201abd1630c73604,女,黑龙江,其他,我就是东北的，突然限制电真的影响很大！,against
3866,7f9ce019c1e47e35a2ca3db86993c4170c0261ae,男,上海,中青年,  螺纹钢供给方面，上周供应降产突出，受政策减产和限电影响，电炉几乎全面减产，本周或有部分逐渐恢复。需求方面，河南区域受大雨影响短期难有明显回暖，华东区域台风来袭，多地雨水天气增加，预计本周需求难有明显回暖。短期内来看，钢市呈现供需两弱态势，库存压力不大，基本面偏好仍支撑钢价高位运行。考虑到下游终端成本压力较大，多部委强化大宗商品价格调控，钢价或不具备持续大涨条件。预计本周建筑钢材价格将呈震荡运行。技术面：螺纹2110合约均线支撑，附图MACD多方运行，有望拉涨。本周先看震荡上涨，日内关注支撑5700，以及5650区域。能回落就分批布局多单。,against
2208,7fc3fd3f970577a15f0f95a175d1a76a2d75e592,男,北京,其他,“桃花过处，寸草不生。金钱落地，人头不保。”没想到斗转星移，苦海浮沉。如今已经是拉闸限电，绿色能源的新时代，春三十娘你还在。,favor
2862,1344c7f62999cce4e389715af63126806b1558ca,男,吉林,其他,咋不用飞机运煤呢？  一天就到了 长春·长春市宽城区人民法院,against
5770,682f7a8fbb2f231f870b98ea48fe7828898bcb72,女,上海,其他,真是对哈尔滨失望了……刚回家就疫情一刀切居家，然后东北限电，然后又疫情一刀切，好了几天又疫情。作为省会城市，真是丢死人了。也不知道为人民办实事儿的那些领导在干嘛。因为经济落后一刀切没啥影响就随意这么整，太不人性化。,against
2641,3aec1577f68e4e98a8fc11a96133bbca7ae64767,男,海外,其他,关于最近是不是停电的灵魂之问：此轮拉闸限电，透视出当下中国电力系统的主要矛盾，即社会经济发展对于电力需求的日益增长与能源结构转型下清洁能源生产力不足之间的矛盾。从实际出发，必须承认煤电在短期内的主体地位难以替代，而站在更长远的角度，当5G、电动车等高耗电产业快速普及之时，上游的新能源发电+特高压输送必须同步跟上，否则这种“头重脚轻”的能源结构链条必然会时不时的发出灵魂之问：保经济还是保碳中和？,against
3592,cda510ba687980b547a4668c33afcda08ee4280d,男,其他,中青年,为了大家减碳水，碳中和了，做得好。避免库存过多，大旗,against
3143,6d01742ea1bd83933a1a9c436a42e8111d15b506,男,广东,中青年,限电重构产业格局，化工业成重灾区！绿电站上风口！9月以来限电限产政策冲击股市，上市公司停产消息频出！从受限电影响的上市公司数量来看，化工行业影响最广。广东、江苏、浙江、山东都是化工大省，四川、湖北、云南等地也坐拥钛白粉、黄磷等众多化工产业链，涉及化工企业超过1万余家。限电限产带动化工产品价格全线上涨，生意社数据显示，烧碱、制冷剂、电石近七日分别上涨12%、11%、7%。同时，下游企业面临着涨价和缺货的双重压力。中金公司对化工行业梳理发现，35种化工品在9个省（区）产能占比超过50%，包括农药部分品种、氯化钾、涤纶、锦纶、黄磷、工业硅、三氯化磷、电石等品种。数据宝粗略梳理，主营产品涉及受限电政策影响的草甘膦、钛白粉、磷化工、氟化工、烧碱等化工品的上市公司共有76家，上周股价平均跌幅为8.67%，安纳达、华邦健康、万盛股份等8家公司跌幅在15%以上。,against
5938,214af67d732e826d613dfce46298b5123ea292c5,女,吉林,青年,限电的东北晚上就像末日废土，前几天下雪了，街上行人稀落，我一个人走在街上可太好玩了,against
758,95a390f5284999ebba35c7f9aa9ff6c857cb25e0,女,辽宁,其他, 你如何看待东北限电，你的生活有收到什么影响吗？,none
2943,67292d0112809259c5dbca25ae9389f54a1fa07c,女,江苏,其他,因拉闸限电，在家办公又来咯～～,favor
822,f44c7d4fa867234ce80e198391e004958d14d509,女,四川,青年,最近情绪拉闸的次数太多了,none
1850,9dab7d65bd4359fdba513c0d1090c58d5e806a9f,女,湖南,其他,停水停电热的睡不着，明天还得继续上班，加油打工人停电,against
261,2f60a609394b0163ff2feb51127e0dbb16bcaa01,女,黑龙江,青年,东北停水停电停气大学真好，爸爸很快就在没有暖气的寒风里凉凉了 哈尔滨·东北林业大学第二教学楼,against
826,0ed4c8b2e8f647b8bcfe6f93fa69c9548d2b00d6,男,海外,其他,拉闸前的一夜 有出来喝酒的 有去洗澡的 有去看电影的,against
5547,8742880175df34ae181bf4e211189faae785dc9c,男,海南,中老年,受全球范围通货膨胀影响、建筑材料价格持续攀升 海南省住建厅提出五条防控指导意见南海网 记者 易帆 2021-11-15    　　11月15日，记者从海南省住建厅获悉，今年以来，受全球范围通货膨胀的影响、建筑材料价格持续攀升，尤其是近两个月，为落实国家能耗双控政策，多地实行限电管控，同时叠加煤炭价格急剧上涨等因素，建筑材料市场价格出现异常波动，对全省建设工程成本造成较大影响。为此，省住建厅结合实际情况提出五条指导意见　　为了维护建设工程发承包双方的合法权益，合理分摊建筑材料市场价格波动风险，保证工程质量安全和工程建设顺利实施。根据《建筑工程施工发包与承包计价管理办法》和《建设工程工程量清单计价规范》，省住建厅结合全省实际情况提出五条指导意见。　　一、建筑材料市场价格波动风险应遵循风险共担原则，体现交易的公平性。工程发承包双方应在施工合同中合理设置建筑材料市场价格波动风险条款，明确约定可调整价差的材料范围、基准价格、风险幅度，调整方法、价款结算及支付方式等。条款中不得出现无限风险、所有风险或类似语句的表述。　　二、合同中未设置建筑材料市场价格波动风险条款或约定不明确的，发承包双方应尽快签订补充协议;合同约定采用固定价格包干的，当市场价格出现了发承包双方在订立合同时无法预见的、不属于商业风险的异常波动时，双方应遵循《中华人民共和国民法典》第533条规定的情势变更原则，根据实际情况签订补充协议。　　三、发承包双方应根据工程的施工组织计划、材料用量情况和实际施工周期合理设定材料调差的时间段，对时间节点进行明确界定。　　四、材料调差可依据发承包双方共同确认的市场价格或参考海南省建设工程主要材料市场信息价。　　五、材料调差只计取税金，不再计取其他费用。　　六、本指导意见自2021年11月12日起施行。,against
5538,fef4857e4570805e6b4e8cd1f1d3c3edf57ca0f9,女,其他,中青年,今年突然来了个限电政策，把各生产单位整了个懵bi ，让各产品又贵了一波，线下的优点是可视，可感受，可试用，受到线上电商的强烈冲击，本来用的好好的产品，我买不到了，本来下单直接扛回家就OK了，这下非要网上下单，等个三五天才能用上，让人无奈又心塞🙁。线下可以感受真实的触感，颜色，味道，但是把人工费，店租等都考虑进去，从各种不知名的工厂进货贴个没听说过的标签，就卖上比活动期好几倍的价格。让人又爱又恨，想去线下感受又不想买。越来越贵，钱越来越不值钱。,against
2645,18f3a5783bba8f587e4702c189abbbf052e0d390,女,北京,中青年, 这个国庆假期除了阴雨连绵以及好看的电影频上热搜，汽车圈最受关注的就是新能源充电问题了，如果说前一段时间的拉闸限电让新能源车主有一点后悔买新能源电动车的话，那么国庆假期开着电车出门的一系列事件估计... 网页链接,against
4779,28e60319e928632189a677089556867399cf5b84,女,北京,中青年,继续排肯定不行 但减的太快了 我们是发展中国家啊,favor
2269,bed72e3545801b4f0e29fea7f31736e08e44d404,男,其他,其他,电厂要涨价,against
4423,e1b5201f6753073bfae1c607a18d255dfaf07865,男,其他,中青年,多地限电，工业企业停工停产，背后原因很简单，人民日报海外版旗下的侠客岛也否认了所谓的世纪通胀，中美金融大战等“大棋”的存在。限电带来的影响，最早发生于企业生产。从9月22日晚上起，多家上市公司先后发出公告称，由于供电紧张，为响应当地“能耗双控”的要求，上市公司本身或旗下的子公司的生产线临时停产。要说原因很简单——供需失衡。一方面，受全国性煤炭紧缺、煤价高企、煤电价格倒挂影响，目前不少省份出现供电紧张局面。另一方面，用电需求猛增也是此次“限电”潮的重要原因之一。针对当前供电形势，中央、地方多举措保障电力。9月27日下午，国家电网公司表示，将全力以赴打好电力保供攻坚战，保障基本民生用电需求，最大可能避免出现拉闸限电情况，坚决守住民生、发展和安全底线。总结一下就是饭照吃，车照开，茶照喝，股照炒，我等不必大惊小怪，安心工作。,against
417,6e19d1b6c525d2d94c78fa970081a7cf85ac3a9e,男,天津,其他,今天夜跑，回寝室的路上，听见前面两个人在讨论东北限电的事儿，本以为俩人对这方面很了解，可其中一个突然来了句现在国内还有火力发电吗？学电气的我听完后当初摔倒,none
2998,ff235ac91f74a5036a48556fe413a1445ad26bb9,男,北京,其他,煤炭企业得挣多少钱啊,none
3392,eaa36687c356a375d08487cb5b2a499211603f9b,女,湖南,其他,你在东北吗,against
755,b55bb7755bd4de602aa96789fd1e6fb0a6d6a7c3,女,黑龙江,其他,别的不说，白天开路灯属实废电了，但凡每天及时关都能省不少,favor
3147,e4f85114bfcab3fb5ab2efd2f96ac494fbeaee08,女,广东,老年, 天空新闻台：英国奶农因为运输司机短缺倒掉了4万升牛奶。这知识我高中历史学过，阿美莉卡上世纪经济大萧条就倒了大量牛奶来哄抬奶价。什么叫做资本主义历史重演啊（战术后仰）,against
5147,2c724832289eb3c4b88d123da00cd4ee679f0ce0,男,浙江,中青年,回复@TC--CHAN:那是香港特产，工厂开在美国领事馆里,against
1750,8dbf0e24024494ed22418244be3b6a436a0edc13,女,北京,其他,东北拉闸限电！电停了责任不能停 口味女神的微博视频,none
1244,8326ecb81cb119303fedc7b0e82a7f23f6143db3,女,河北,青年,哈哈哈哈男朋友学校没被限电自己上杆子把学生宿舍断电了，教师办公楼不断,none
4133,57589e5d9218dd58ed9060a122c4c3189ba3762e,男,海外,其他,难怪上周就开始限电停工停产，现在都上热搜了，原来到处都是这样的，好突然哦，不知道国家电网还是地方电网有什么困难,against
3497,c2a0611504f2f8a50664bfeed2b58df43e3c4a3e,男,其他,其他,明天还限电 烦死了 愁的睡不着 常州,against
4390,d0af4feb903c44485c6fb018bb2ec5b49440f4f0,女,浙江,中青年,高负荷高排放是哪些,against
5318,7945213d1df061c58847a11ddc97b9ffe2d39291,男,湖北,中青年,主力电厂展开招标 后续需求逐渐复苏寒潮来袭，气温骤降，叠加取消有序用电，电厂日耗恢复性上涨。后续受冬储煤和下游刚性需求释放影响，“迎峰度冬”电煤供应面临严峻挑战。近日，华东某主力电厂一改前一阶段拉运不积极的态度，开始招标采购。由于下游存煤不少，底气十足，电厂招标给出的价格非常低。但随着日耗的回升，煤炭消耗的加快，预计接货数量将有所增加，接货价格有所恢复。新一轮全国性冷空气过程将影响我国，这股冷空气将延续11月上旬那波寒潮的基本特征，影响范围广、降温实力强、雨雪范围比较广，自西北方向而下，南下范围很广，包括华南也受影响。11月19日至22日，雨雪、大风、降温“上线”，全国近20个省会级城市降温将超10℃，降温过后不少地方比上次寒潮更冷。11月下旬到12月初，冷空气将开启“无限连击”模式，接连影响我国中东部地区，用煤需求或将得以支撑，后续市场需求将明显转好。首先，天气原因会导致日耗上涨。尽管电厂存煤不少，但每天的用量增加之后，尤其一旦耗煤高于调进，就会加大采购数量。其次，部分省市下达文件，要求电厂存煤存煤可用天数要达到20天以上，相较于前期又增加了5天，电厂采购的情绪有所增加，已经开始招标采购。再次，南方省份逐步取消有序用电，工业企业用电回升，叠加取暖用电需求呈现季节性增加。沿海主力电厂库存虽然得到补充，但较往年相比还是略低一些，且今年寒潮天气影响更大，必须未雨绸缪，增派车船运力拉煤补库。第四，虽然多数电厂都有长协煤和保供煤的支撑，但是部分缺乏保供煤以及长协订单较少的耗煤企业对市场煤的需求依然存在。针对此前煤炭、电力供需偏紧的现象，上级主管部门下发了《关于进一步深化燃煤发电上网电价市场化改革的通知》。多地发布了电价市场化改革工作通知，一些城市电价顶格上浮20%。新政实施后，将有利于提高发电企业的发电意愿。本周，环渤海港口到港拉煤船舶明显增加，询货客户也在增多，接受度提升。目前，电厂存煤可用天数普遍在10—15天左右，但是，一旦降温，港口大雾、大风封航，持续影响两天，电厂库存就会降到10天左右，急需补库。,against
2663,e1670a2b58f7e8e07a1c5d7d931b8e4b9663d1dc,男,广东,其他,国庆假期，电力、煤炭、铁路、金融等行业纷纷出台有力举措，保障今冬明春能源供应安全。多地电网加大保障力度为兑现“最大可能避免出现拉闸限电”的承诺，电网企业加大了对相关地区用电需求的保障力度。网页链接,against
4112,f0644ef71eb697a3183988182ee4c1f3f240980a,女,江苏,中青年,尤其纺织产业，这样耗电高的,against
2622,8f746bf3af0108d6f4d552a6c83178f7920518ee,男,上海,其他,已经不是搞运动的计划经济了 是看利润的市场经济啊,against
2071,d24318ceba0c2fa5f5602bf8b3b80258322703bd,男,湖南,中青年,长沙真的是狗到极点了限电限电  公司园区直接拉闸停电  从26号一直到国庆节都没有电  国庆节后还未知好嘛  直接赶回家办公  你吗的家里网速支撑不动云桌面卡的要死  工作效率低到不行家里的自来水还一股土腥味  问了就说已经检测没有杂质啥的  那你他妈好好检测下别的行吗？没问题的水会是这个味道？真的恶心上班路上一条长路到处是施工挖掘完剩下的沟壑  一个比一个深  坑坑洼洼的  骑电动车累得要死  真尼玛服一天天吹什么新一线龙头城市  网红城市  装尼玛什么逼呢  老百姓这点事都整不好  天天网红网红  长沙真是丧良心长沙,against
3001,fbce5bccf458e524379b7e9f994de693689a08eb,女,山东,中青年,昨晚梦到很多高二的朋友来到我家，我却要加班，为了表示我的热情，我准备给大家打开灯，没想到打不开，我解释，可能因为拉闸限电，但是这时候我的房顶掉了下来，哗哗流水，这让我很难堪。醒了后，问了小度，梦到屋顶漏水应该谨慎花钱，但是什么叫谨慎呢，是重复的意思吗，比如一件东西买10次？,against
1157,ce4d5e7ddb9e778210aff4a74d8290d98720afa3,女,其他,其他,那个限电拉闸断电的消息，我竟然今天刷微博才知道...2g网了,none
561,5cfb1a3e76408476eddc43d81bfc1ff8e25bad66,男,河南,中青年,不是已经通知你们了要限电到明年春节之后 寒潮时候有电放心 没办法那边污染太严重了,against
