id,userid,sex,adress,age,text,stance
1,4c354f597722b712dbd745e1015994189eacd30a,男,其他,其他,她算哪方面砖家，有啥资格评论这一个问题？,none
2,5d92fc271ce5fe3d06d031d979dfea84bb3e761a,男,陕西,其他,越来越讨厌这个女人了，精致的利己主义。,none
3,0fc7e717e08b62b8803dfc8da134ffb68caf36f5,男,北京,其他,因为她生不了,none
4,0ec9d6da5cc5ad2395fed90262a38d816a3ed73e,女,广东,其他,好奇是生不了还是不想生,none
5,6d5906632392b6436a8f6f014f0bf9f66e0aad47,男,其他,其他,人口问题是最复杂的社会问题之一，叶檀连这都懂？张口就敢评论？,none
6,31d8db0d92adc929ca02ca87a473ff957548d68f,男,广东,中青年,标题党啊，人家观点是“人顺其自然，不想生没必要用所谓的鼓励手段。”现实本来就没有补贴什么钱。留点口德吧，见到专家你们就兴奋了？就开始骂人了？,none
7,fb137c9de69c6c3c44f8d40dfa6b77192b94c30d,男,江苏,其他,你采访一个选择丁克一个孩子都不要的人问她对三胎政策的看法也是醉了,none
8,f9e20d3cc8028f62ca6c63940fa2fd8335803ce7,男,江西,其他,都买的几室几厅啊，还生三个呢,against
9,80ac3c0a397d86bc759332043d982fd9fe85cf8b,男,浙江,其他,提高待遇，抵制996，提高女性地位，自然就有人想生了,favor
10,08b283e34fa571c28281a636d46a68fa58eec996,女,四川,其他,攀枝花政府奖励500每个月给三胎，鼓励多生。特么前几年生个二胎被强迫辞职了，真特么的无语。,against
11,c9db4dacdde3a798f8603b086656a68e8c5063e0,男,河南,其他,不要拿个人观点来品头论足，要有国家大局关,favor
12,e68708ca8963717b9dfd466c92ace4220f429ebc,男,安徽,中老年,不想看到这张嘴胡说的女人，我先退出网易财经,none
13,c473684b31ca5ba6fab1405694ff8f6546aae190,男,北京,其他,@宋圭武 @凤凰新闻 不完全反对你们观点。但不一定必须放开三胎生育就能解决问题。要善于找准生育问题的矛盾交织点，解决富裕家庭多子和低收入家庭少生的平衡点是三胎政策需要正视的系列问题。真正影响生育水平低的问题是孕育、生育、教育费用奇高；就业难、收入低；房价高等问题。其次就是要调控新生人口性别比。,none
14,6766633d251ff4f6380836be7c0671e52a63f888,女,天津,中青年,其实只要不强迫不生的人生孩子，不影响不生孩子的人的工作生活，你别说号召三胎四胎了，你就是生一串，生出篮球队足球队，我也是不在意的。,none
15,2e76b6df718ab3edb030f053d358f9092a69ff90,女,湖北,其他,先tm提高结婚率吧，昏都没人结，生个屁的娃呀？或者等男性也能生娃的时候再谈什么三胎四胎吧，就别浪费女性的青春和时间了。,against
16,6969b110e22fcda25d14918055639377e7df89ea,男,海外,其他,现在还有很多讨论，针对二胎，放开限购政策，放开贷款限制政策，调整非普标准。国家为了二胎，三胎，很努力了。但对生一胎的，只会变成无法竞争～～～无论买房，还是租房。资源就这么多，给二胎三胎倾斜，那些准备要一胎的就更困难了,favor
17,8683e6cbeb7a36372c5c2aec05e1a683b09a7fb0,女,海南,青年,世界变化真快 在少生优生晚婚晚育教育下长大的我对三胎以上政策还是无法理解（虽然知道人口老龄化和劳动力短缺是事实但我还是无法理解,against
18,d3b1b725d1e31ca58e61c1024dc60d5b867d134e,女,北京,青年,总感觉开放三胎政策和开放007政策有异曲同工之处。让有能力，想加班的加班去吧。,against
19,8683e6cbeb7a36372c5c2aec05e1a683b09a7fb0,女,海南,青年,而且我家也从来没有关于生二胎的讨论 爸爸妈妈从来也没问过我想不想要弟弟妹妹 所以我小时候一直以为全世界和我同龄的小孩都是独生子女,against
20,d0a8c2691c53d886d87af94ae8d9d60e2a1087f5,女,江苏,其他,全职预警取消培训不如取消高考。竞争还在压力就需要下放，没了老师培训只能家长买单，没看到减什么了，最终目的是下岗一个全职方便三胎？？ 昆山市,against
21,6dcb5b9236aaff8cc0672334d8c6337ee047d9f7,男,海外,其他,最大大头还是房子，而不是补课要多少钱，请抓住重点，强力调控好么，此外，三胎请先让党员公务员坐做起啊，和评职称啥的挂钩啊！,against
22,9f38f1cc0812f05a5414d68e3c907c6c9c35d7a8,女,其他,其他,纯粹好奇，目的减负减压促进三胎，目前而言，整改机构让教师回归学校可以理解，但一刀切所有的教育、家教等机构，在社会实践中真的可以帮助普通家庭吗？聪明且自律的孩子毕竟少数，教育资源全部回归学校，教育平等是一大利处。但这样真的平等吗？学过中学政治课都应该有印象：三个不同身高的孩子，需要给三个不同身高的箱子，才能达到相对公平。原来根本不需要相对的公平。,none
24,466133da3702193b863d3059aff7e45bcaeffa35,男,北京,其他,关于人口政策，我们开个脑洞，你们觉得如何？1 放开二胎（已出台）2 放开三胎（已出台）3 四胎以上不罚款（今天出台）4 生孩子发钱奖励5 生孩子发房子奖励6 为了鼓励生孩子，放开一夫一妻，可一夫多妻or一妻多夫7 放开18岁到28岁外籍年轻人入中国籍8 ……请补充,none
25,d3507408634ea0a77ab9405d31182e0c6470d7d8,女,河北,中青年,明知年轻人一胎都生不起，为啥还要放开三胎？是给谁准备的？@营养师张淋琳  币圈招财猫旺仔的微博视频,against
26,07b6c1d69635ba9ed6b372f79cac3f345eee70a0,女,广东,其他,潜移默化宣传三胎政策？,none
27,b8df346936ec1728141a4966b6c4e4dd859d6ad3,女,广东,其他,忽然发现已经好久没有看见过孕妇了，大家上次看见孕妇是什么时候呢？,none
28,4d708862e296f68fd5263f083916e59351d09e02,女,北京,其他,怎么，你自己没本事入党，考公务员，就心理扭曲思想变态了？你这种人，最好一个都别生，害人害己。,none
29,a0c59a78da28c2f6ebe23cec9c74c5213cfc44e1,女,其他,青年,三胎和党员有什么关系 好笑,none
30,af89fc7b4e71fc3e04bf647daf418d323ea3203d,男,海外,中青年,回复@成强94044:你扯太远了，只是党员要带头响应国家政策的意思。,favor
31,ff0a2931a451287969b691ea8cb92d6df69ec1a3,男,其他,其他,应该是请领导先生，特别是公务员处级领导,none
32,5fb92f168aafa1989ff43c0c5c26998bcf0a049e,男,浙江,中青年,没有三胎的消息啊,none
33,c14ad46c96c593e976b67e1f30eb06651e2a3788,男,其他,其他,鼓励番茄嫁接无性繁殖,against
34,15f91b4f8e372bd7c2170b0500398616475f3911,男,广东,中青年,生三胎的是什么家庭？是生二胎的家庭；生二胎的是什么家庭？是生一胎的家庭；生一胎的是什么家庭？新婚家庭；现在结婚都不想结或者结不起，谁还生三胎？,against
35,119c057c342747c0a367a6b66d87fd61f3cce884,男,湖南,其他,早放开就不用这么着急上火了。,none
36,ba08f8e6ff54288d2b38a581aa333c7e330fa1f7,女,河南,中青年,建议直接打开国门欢迎外国友人,none
