id,userid,sex,adress,age,text,stance
526,952f22e8d420e9ee207da683a9384dfb85a14bd6,男,山西,其他,是得好好控制下小孩子玩游戏了,none
5446,f6e6dc1c2578522688f8c58e4c364de1f176fcef,男,广东,其他,，腾讯跌超9%，网易跌超15%。目前该文章已删除。,none
5080,5d163753c3b8674313d11b041017d90352d57099,男,其他,其他,赛博大清1907仿生林则徐会消灭精神鸦片吗,none
5405,720d5e992f6911b54411d306a720e3439f8113ca,男,北京,中青年,回复@赵泽宇赵泽宇:是王者农药吗？,none
1912,3f07f8b79c4de484f21921945e8f0cb9e118cc2d,男,江苏,其他,电子游戏不是精神鸦片，但某部门坚持不分级而让没有自制力的儿童没有限制的接触电子游戏才是让电子游戏变成真正的精神鸦片。,against
511,1e3b51fcff5cc5dd30fdb07493771e4d6b85bf75,女,北京,其他,"这是没打过游戏的人写的吧,什么被动接受信息,填鸭式教育吗打游戏才要动脑呢好吗",against
779,7da4f38a9d57e310f79fb5017e52e1d801823816,男,辽宁,中青年,就这个网络游戏不知道为什么在中国就成十恶不赦了，国外的游戏产业和文化是那么的发达，怎么我肯的孩子玩游戏就成玩物丧志精神鸦片了？怎么我们跟外国人比差啥？,against
2451,bd82b1d5c5fcf13be44ea91c09af1625eccff67c,女,广东,青年,so别把他当成精神鸦片,none
1705,3680966877ff99397cabaf73e08652a7c5290fd0,男,上海,其他,欧游，世界上你找找教育成功的国家。,none
2907,b5e02e2e7978d9734b8c4e2a71853e2264df9325,女,山东,青年,抓紧卸载23,favor
541,6582d4b918410d2a32d38c134abf4c02e2bbf5c8,男,山东,中青年,教培，医疗，地产，游戏，电商....一开始都在看别人的热闹，迟早会轮到自己的行业的,none
2191,5d5b9f34737329a9a55896e547467f4404701102,女,广东,中老年,有个青少年模式设置一下就好啦,none
42,dee087605f0e6d7036c7f966cf17d724915c6df0,女,山东,青年,现在互联网就是我看美女的工具，一晚连看三小时美女睡意全无我直呼精神鸦片。我早上一睁眼就开始个个软件来回交换看漂亮女的，到太阳落山我钻进被窝还是要看漂亮女的，谢谢你，这个充满美女的互联网世界。（我勉强把自己算做其中之一（谁和我关系好，24h之内v我五块钱我把你也算进去,favor
3637,51d269ff0fa2d351c31a88ae27f8c016fae4edf6,女,湖北,其他,"芙清,面膜58,在孩子沉迷于某些行为的时候，很可能是因为潜意识里对现实的逃避。父母此时就应该帮助孩子意识到自己目前最重要的是什么。如案例所讲，网络游戏只是一种休闲，不能代替生活的全部。如果孩子还没有听进去，就要采取奖罚的方式解决问题。这些都有助于实现目的，并且还能变成孩子自己的内在要求，从而培养孩子的自控能力。",none
2465,46888300fa1b9166c1049efd58f24612eba47f56,女,辽宁,中青年,过分执着，精神鸦片，恐惧和屈服都使人不幸，只有面对才能成为更完整的人。感谢在我至暗时刻拉我一把的人，推我入深渊的人，当然还有尚存理智的自己，也许还有下一次，下下一次郁期，放手来吧，存在过的一切都参与对我的重塑，感恩！,favor
327,6b89d9e8c0df1ecfb6d069cd6496207e16243516,女,河北,其他,不能片面看待，网络游戏也是社会发展的产物，也是某个可发展的领域，一定要多加管控引导,against
2912,273792362a6ac79a74185024d15f6de994cb453f,男,其他,其他,"央媒批网游为“精神鸦片”，你以为只是游戏吗？其实在下一盘大棋,情商思维0815的微博视频",none
3998,4dcb2503b87ec87ca16295a837001fbdd7f7772a,女,山东,其他,dy本身下沉用户多也正常。还好dy算法会让我们流量池碰不到这些人，但也会因为某个爆火的视频看到一些匪夷所思的发言。我觉得挺有意思的，看看他们的视频，有的人是真的在热爱生活记录生活努力生活。以前很不屑于刷dy，觉得是精神鸦片，现在我彻底被这种不同的人间烟火气吸引。你看，在你难过的时候，一直都有人在努力活着。,favor
1708,d33b3db4d97bd7c6ec1153870350e74e6e9610f3,男,北京,其他,",篮天下,铁粉们，你有沉迷过打球/打电子游戏/打篮球电子游戏的经历吗？编编先爆料自己——的确在刚毕业的时候沉迷过一阵子2K11……至于真的打篮球的话，因为比较累所以没有沉迷过……",none
1476,d51e7118210d6d780dc42a420fb8349c1860871b,女,浙江,青年,太快乐了，追星真的太快乐了，许嵩现在就是我的精神鸦片我永远爱(馋)许嵩！！,favor
319,50dc126e7abe1689e21435f166400ff9e0547a07,女,海外,其他,"@小布小安777,俺承认收了白等1999的狗粮还不是因为俺离异单身带俩娃目前怀三胎中。都是俺老公不争气啊天天吸食游戏这种电子鸦片，俺要是有办法绝对不走这条路啊。俺答应你，还了这笔钱就金盆洗手不干嘞，您看您是每个月给我转200还是一次性付清嘞？",favor
598,792d4f86980647ade4a897d07e1b08b5bfd469ea,男,陕西,其他,电子鸦片是指什么,none
458,2be6e30084f3efe5a92a05c5d7e495f07b80a41c,女,海外,其他,"回复@眠总并没有什么特别想说的:不错,我还有电子下体（被抓走",none
1034,dd51cb85a2b4529841a736540e79a69dc58f1fdb,男,其他,其他,"看到一些农村孩子一天到晚打游戏，我心里是很难过的。希望有关部门把这些电子鸦片彻底杜绝了。这些孩子，小时候不好好读书，连个基本的代数几何都不会，长大了还能干什么？,除了房地产砌砖扎钢筋，还能怎么脱贫？",favor
5328,6dc280d454795fd806b9c1b458869b780e22a896,男,浙江,其他,说错了，或者说它说的太极端了。孩子教育难道就是网络游戏可以影响的吗？它这样的说法把其他教育主体的责任摘的就剩寥寥。,against
364,59b7af63c601d2e4f2689b48e84e90ca905413f8,男,其他,其他,最近在想这点无数次，感慨时光飞逝，却越长大越不知道如何形容这，如天凉好个秋，真真是天凉好个秋在这个娱乐至死的时代，我们感慨着娱乐至死，却经历着娱乐至死，因为娱乐而蹉跎时光，如同吸食着电子鸦片，从前不觉得，现在越来越能感受到过分充足的精神生活的弊处，与现实脱钩，沉迷于网络世界，而耽误现实生活，现实中有那么多有意义的事情值得我们青年人去做，而我们却又在做什么呢曾几何时，我是一个有雄心报复的人，好像还是我是一个想暴富的人，物质上的富有没有太大变化，精神上的富有却好像缺失了很多处在时代的洪流中，我们经历这信息大爆发，也迷失在各种各样的信息中从吴某凡事件中，从霍尊全网黑成那样又因实力而被惋惜，从抖音中的警官连麦网红致他们宣传交通知识防诈骗信息，还有之前看觉醒年代感慨那时青年人的血性方刚胸怀大志先烈的投身革命英勇无畏家国天下。我越来越感受到语文老师让我们写作文时表示的正能量才是社会主流趋势。我以前觉得，历史这种东西不是像我这样平凡的人能书写的，现在觉得我们每个人都处在历史的洪流中，我们所经历所感受的何尝不是时代的脉搏历史的车轮呢，我们每个人都可能为自己添下浓墨重彩的一笔……好了好了，忽然感慨这么长时间，我也得去完成自己的作业了最后愿己愿家人愿世界皆安！,favor
1231,7739051905aa88ec5f2550d02b764771f008fd9a,男,广东,中青年,",网游=精神鸦片？,做好这三点，再也不怕孩子沉迷网游！,孙明展的微博视频",none
213,8cf1c747fd48259fcad035b6c73bb419cef5efbf,女,四川,中青年,没有底线的部分企业严重影响了正在成长的一代人，说是精神鸦片毫不过分，希望国家加大整治力度，让黑心资本和无用娱乐远离国人。,favor
2953,1c15fe8ca7dc1e2f9c58e5551254ae8717f25223,男,其他,其他,日本风情街的意义，很多人都不明白其险恶用心！日本要征服中国完全是不可能的！只有白痴才会担心日本能征服中国。还记得鸦片战争吧？要征服中国，必须先弱其国民！让中国人没有理想，不思进取，沉溺于声色犬马，灯红酒绿之中！看看那些日本风情街吧！就是毒害中国人的精神鸦片！那些商人，见利忘义，不去考虑以后的后辈，被日本人算计，人不自强，其国必亡，历史上那么多国家都是这样灭亡的，那么多文明古国就是这样灭亡的！当然，人类已经发展到现在这个阶段，要用阴谋诡计去灭亡一个强大的文明古国，是很难很难的！,none
773,2b6488a05a3fbb20455437bf2268fc80aa804517,男,北京,其他,",阿里为啥不做游戏？马云说：残害青少年的事我做不出来！,短线刀客888的微博视频",none
3957,b6a0e99f5894a5fb23dd59f7bd1fc492b2d29a66,男,香港,其他,光靠企业当然不行，违法产业链要端掉，社会人员，包括家长、孩子、还有执法部门都要配合。一些家长一般叫着游戏祸害小孩，一边随手就把自己手机给了孩子玩游戏，国家再怎么管也管不了这种情况啊[攤手],none
358,a432828fad51f90c34499b7ce97763085481607b,男,其他,其他,不停地诅咒挖矿者的的恶心小鬼不比08年的香港人恶毒多了？08年的香港人可是婴儿奶粉被扫光也只是骂蝗虫，你们只是打个游戏打不了气急败坏成什么样了？,none
593,3530fea5b9923973d8718295a784599d04e15d96,女,香港,其他,"这几天忙着赶路，没怎么刷微博。发现虽然没跟上热点，但好像也没什么损失。以后准备少刷点微博，多吸点电子鸦片，嘶～哈～,海东",favor
5410,cbe3525c99850d8c4ad1d274d8605c65e1b66dd2,男,海南,其他,8月3日，经济参考报发表文章《“精神鸦片”竟长成数千亿产业》称，当前，我国62.5%的未成年网民经常在网上玩游戏；13.2%未成年手机游戏用户，在工作日玩手机游戏日均超过2小时。网络游戏的过度投入对我国未成年人生理和心理带来双重负面影响。2020年，我国超一半儿童青少年近视，因沉迷网络游戏而影响学业、引发性格异化的现象呈增长趋势。游戏危害越来越得到社会的共识，常常用“精神鸦片”“电子毒品”指代。,favor
406,414d3f7e3c63539e773b7dd0ad115c83b1080a00,男,北京,中青年,最近视力下降太厉害了，矫正视力已经是电脑放在正常距离都看不清常规字符的程度，需要放大才可以。结膜炎也一直没好，眼角总是痒痒的。高亮提醒自己：请关闭小红书！放下塞尔达！正常坐姿看电脑、看ipad、看电视、投屏玩游戏都ok！不要葛优躺吸电子鸦片！保护视力，正确用眼，健康工作五十年！,favor
5165,ea14ff4f3855a84b48528b3e7a9847a7bc6c5a32,男,其他,青年,",不光要关闭游戏，还要关闭学校。学校害的孩子们精神萎靡，成天吃不好睡不好，考试成绩和老师言论更是蛊惑人心，害的每个家长都拿成绩攀比，让孩子失去自信心、让孩子更加叛逆。学校就是社会上的精神鸦片！不断的残害祖国的花朵！按某些人的话来说：学校将对未成年人身心健康造成不可低估的伤害",against
1465,891dba0c8899fa5fabbc8fbadaa1325df8349e83,男,浙江,中青年,所有东西成瘾都是病，不只是游戏,none
607,285af3e17a89b7ec18bb7e1f4ce6ff57d3ae5b1a,女,广东,其他,是呀，爱好本来就是很主观的东西，大家都有各自擅长的领域，就像我爸从来不bb我一柜子“五颜六色的格子校服短裙”，我也不会bb他买长长短短的钓竿[苦涩]打游戏遇到无能狂怒的鲨匕，他攻击你的性别正是因为他认为这么做可以激怒你，但他没有想过电子竞技菜才是原罪,none
5364,4eb7e6920b4507e9f2dfd0cb9c3b7b7fedd22334,男,其他,其他,"一个东西老一辈的都爱玩，就叫“国粹”一个东西新一代的都爱玩，就叫“精神鸦片”笑话请尊重每一代人的爱好和精神,",against
357,a432828fad51f90c34499b7ce97763085481607b,男,其他,其他,一群吸电子鸦片的游戏玩家居然有脸嘲笑别人是浪费电,favor
5445,e20d58a0b3c8b748eb6d40470796ebefb6186d1a,男,北京,其他,其实担心不让补课了，孩子玩游戏的时间更多了......,none
1216,46026a7263afc14448ffeebd640c5f069859c0e1,女,四川,中青年,我爸就是除了上班睡觉都是手机，对于他们这种老年人来说，短视频才是真的精神鸦片,favor
